"Short Key",Nombre,MAC,IP,Estado,Plaza,Grupo,Agent,PVSI,"PVSI Fecha","PVSI Hora",AgentResurtido,"Resurtido Fecha",Windows,Arquitectura,"RAM (GB)","Disco (GB)",BitLocker,"Download Path","Última Actividad"
,DESKTOP-3GOU8A8,AUTO-REC-10340,200.119.180.160,online,,,3.67,,,,,,"Microsoft Windows 10 Pro",x64,16,463,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:06"
XPRAD,DESKTOP-3HHGM85,AUTO-REC-52,201.105.92.29,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,17:57:50,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,915,,"D:\PVSI","2026-06-26 07:39:11"
PCEDJ,DESKTOP-5VIDPB8,AUTO-REC-6907,189.176.52.26,online,PENLA,"PENINSULA ALMACEN",3.67,"26.0.2_06.13 DBXW",26-06-2026,08:13:29,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:39:14"
MARZO,DESKTOP-84V728G,AUTO-REC-138,201.97.218.173,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:14:46,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,6,465,,"D:\PVSI","2026-06-26 07:39:17"
,DESKTOP-8BMAATJ,AUTO-REC-40760,201.105.53.54,offline,,,3.67,,,,,,"Microsoft Windows 10 Pro",x64,16,476,,"C:\ProgramData\DistributionAgent\files","2026-06-25 17:01:12"
GUERR,DESKTOP-8BR0FBV,AUTO-REC-12725,189.148.18.171,offline,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,18:25:52,,,"Microsoft Windows 10 Pro N",x64,4,1419,,"D:\PVSI","2026-06-25 18:40:22"
GJOCO,DESKTOP-8LVEMSD,AUTO-REC-157,189.181.211.138,online,GUADA,GUADALAJARA,3.67,"26.0.2_06.21 DBXW",25-06-2026,12:50:51,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:39:11"
TEOCE,DESKTOP-8P2RR95,20:53:8D:03:41:F0,201.111.202.107,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",25-06-2026,16:07:18,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,475,,"D:\pvsi","2026-06-26 07:39:19"
NCAMA,DESKTOP-96ROG66,AUTO-REC-39584,186.1.1.44,online,NICAR,NICARAGUA,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:13"
COAT5,DESKTOP-9L1U5PL,AUTO-REC-46,201.111.230.46,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,16:13:15,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,900,,"D:\pvsi","2026-06-26 07:39:19"
XJALC,DESKTOP-A56ROB3,AUTO-REC-64,201.97.208.162,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:13:48,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,900,,"D:\PVSI","2026-06-26 07:39:03"
00077,DESKTOP-A86R6Q9,AUTO-REC-16439,201.108.80.35,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:00:30,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,931,,"D:\PVSI","2026-06-26 07:39:13"
,DESKTOP-C77OCUR,AUTO-REC-86,186.1.41.200,offline,,,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,223,,"C:\ProgramData\DistributionAgent\files","2026-06-25 16:59:25"
PDESC,DESKTOP-CNTL1N7,AUTO-REC-40738,187.152.148.70,online,PENLA,"PENINSULA ALMACEN",3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,12,476,,"D:\PVSI","2026-06-26 07:39:11"
ATENA,DESKTOP-D1AOI3R,AUTO-REC-139,201.111.187.104,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,07:36:41,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,913,,"D:\PVSI","2026-06-26 07:39:09"
XJOYA,DESKTOP-E3G0JFR,AUTO-REC-94,201.111.190.119,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:22:29,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,2,542,,"D:\PVSI","2026-06-26 07:39:07"
,DESKTOP-E6N1J20,AUTO-REC-185-1782307245,187.155.155.217,online,,,3.66,,,,,,"Microsoft Windows 11 Pro",x64,8,930,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:38:19"
HCAAB,DESKTOP-ED4M3UM,98:EE:CB:69:CB:73,189.173.243.126,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",25-06-2026,18:39:57,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,6,930,,"D:\PVSI","2026-06-26 07:39:17"
COAT2,DESKTOP-FJGE8L5,AUTO-REC-25,201.105.20.28,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,12:14:06,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,16,930,,"D:\pvsi","2026-06-26 07:38:58"
NESTE,DESKTOP-HF4NSUV,AUTO-REC-100,186.1.14.36,online,NICAR,NICARAGUA,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,687,,"D:\PVSI","2026-06-26 07:38:56"
XRAFA,DESKTOP-HVGOKO1,AUTO-REC-85,201.105.9.94,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:15:40,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:03"
,DESKTOP-I7IRDAS,AUTO-REC-2714,186.1.35.54,offline,,,3.67,,,,,,"Microsoft Windows 10 Pro",x64,8,930,,"C:\ProgramData\DistributionAgent\files","2026-06-25 16:41:05"
,DESKTOP-IN81J8L,AUTO-REC-40733-1782305750,189.176.49.214,online,,,3.66,,,,,,"Microsoft Windows 11 Pro",x64,8,931,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:38:50"
PEPUB,DESKTOP-INGAIQN,AUTO-REC-40752,187.252.198.85,online,PENLA,"PENINSULA TIENDAS",3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:15"
ESTAC,DESKTOP-IOPMI5G,44:8A:5B:96:C7:A4,189.148.4.211,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,17:49:48,,,"Microsoft Windows 10 Pro",x64,4,476,,"D:\PVSI","2026-06-26 07:39:07"
XESTA,DESKTOP-J9CS50E,AUTO-REC-98,201.105.118.121,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:01:04,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,730,,"D:\PVSI","2026-06-26 07:39:16"
ACTOP,DESKTOP-JG53CV8,AUTO-REC-66,201.97.191.224,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,17:54:59,"26.5.5 R957",07-05-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:38:53"
NGRAN,DESKTOP-JV6UVGK,6C:FD:B9:D6:6F:17,186.1.17.70,offline,NICAR,NICARAGUA,3.65,"26.0.2_06.16 DBXW",26-06-2026,17:08:23,,,"Microsoft Windows 10 Pro",x64,3,465,,"D:\PVSI","2026-06-25 17:33:52"
PCOZD,DESKTOP-K1H0NQV,B0:4F:13:10:23:A5,187.152.144.83,online,PENLA,"PENINSULA TIENDAS",3.67,"26.7 R03.12.28",03-06-2026,08:28:15,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:38:50"
,DESKTOP-KDSHPIB,AUTO-REC-39218,189.173.17.156,offline,,,3.67,,,,,,"Microsoft Windows 11 Pro",x64,0,0,,"C:\ProgramData\DistributionAgent\files","2026-06-12 12:46:42"
,DESKTOP-KDSHPIB,AUTO-REC-39218-1781909342,189.173.17.156,offline,,,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,930,,"C:\ProgramData\DistributionAgent\files","2026-06-25 18:55:20"
REYEB,DESKTOP-KVU69QL,AUTO-REC-179,187.221.61.252,online,REYES,REYES,3.67,"26.0.2_06.18 DBXW",25-06-2026,12:57:48,,,"Microsoft Windows 11 Pro",x64,8,650,,"D:\PVSI","2026-06-26 07:38:49"
XICOC,DESKTOP-M4CAG0S,AUTO-REC-28,201.111.230.201,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:06:19,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Home Single Language",x64,8,931,,"D:\pvsi","2026-06-26 07:39:10"
2MAYO,DESKTOP-M6MMODR,AUTO-REC-40739,186.1.3.86,online,NICAR,NICARAGUA,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,223,,"D:\PVSI","2026-06-26 07:39:12"
RINCO,DESKTOP-M92OGL2,PENDING-DEL-40888,201.111.204.5,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:11:47,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,4,912,,"D:\pvsi","2026-06-26 07:38:56"
,DESKTOP-MBMS43M,AUTO-REC-160,187.252.198.85,online,,,3.67,,,,,,"Microsoft Windows 11 Pro",x64,8,931,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:38:50"
PRESI,DESKTOP-MG3GIRC,AUTO-REC-41,201.105.95.192,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:07:35,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,915,,"D:\PVSI","2026-06-26 07:39:06"
,DESKTOP-NQMKIBE,PENDING-DEL-167,189.176.52.26,online,,,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,8,454,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:08"
PTULC,DESKTOP-P05988D,AUTO-REC-187,187.155.155.217,online,PENLA,"PENINSULA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,08:06:59,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,455,,"D:\PVSI","2026-06-26 07:39:03"
CANDR,DESKTOP-P968P8U,AUTO-REC-176,187.150.181.118,offline,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",25-06-2026,08:54:33,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-25 12:22:49"
,DESKTOP-P968P8U,A8:3C:A5:29:19:7E,201.108.116.109,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,08:03:12,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:04"
PJUAR,DESKTOP-QPAVP2Q,AUTO-REC-172,187.152.140.88,online,PENLA,"PENINSULA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,08:08:30,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:08"
PCOZB,DESKTOP-R0QMRTM,AUTO-REC-149,189.253.160.228,online,PENLA,"PENINSULA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,08:12:26,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:16"
CMAHA,DESKTOP-R9KN5R5,AUTO-REC-40741,200.68.186.196,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,16:47:25,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:12"
PEJID,DESKTOP-TOOENFT,B0:4F:13:10:2C:CB,189.174.217.195,online,PENLA,"PENINSULA TIENDAS",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:41:23,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:14"
COTHO,DESKTOP-TQ8B0HV,AUTO-REC-177,187.150.59.164,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,08:01:10,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:14"
MIRAD,DESKTOP-UU3608E,PENDING-DEL-40784,201.111.179.10,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:04:20,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,915,,"D:\PVSI","2026-06-26 07:39:06"
ESCGT,DESKTOP-VDBD9AK,AUTO-REC-92,190.148.50.130,online,GUATE,GUATEMALA,3.67,"26.0.2_06.13 DBXW",19-06-2026,11:29:40,,,"Microsoft Windows 10 Pro",x64,16,223,,"D:\PVSI","2026-06-26 07:39:05"
CCONS,DESKTOP-VQH3C3N,AUTO-REC-195,187.150.50.186,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,08:26:55,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:38:51"
EBANO,EBANO,AUTO-REC-153,201.111.182.127,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",25-06-2026,09:43:12,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,913,,"D:\pvsi","2026-06-26 07:39:08"
,EDGARMUKUL,AUTO-REC-27-1781963976,189.176.49.214,offline,,,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,8,454,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:17:51"
XCAST,ELCASTILLO,AUTO-REC-76,201.97.217.52,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:33:25,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,911,,"D:\PVSI","2026-06-26 07:39:05"
TESTA,ESTADIO,AUTO-REC-11741,189.148.29.59,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,17:07:33,,,"Microsoft Windows 10 Home Single Language",x64,8,917,,"D:\PVSI","2026-06-26 07:38:57"
HFERA,FER,D0:F4:05:3B:56:02,189.173.140.62,online,HERMO,HERMOSILLO,3.72,"26.0.2_06.21 DBXW",25-06-2026,13:10:08,,,"Microsoft Windows 11 Home",x64,8,461,,"D:\pvsi","2026-06-26 07:38:52"
00028,FORJADORES-PC,AUTO-REC-11743,187.223.39.162,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",25-06-2026,17:56:45,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Home Single Language",x64,8,931,,"D:\PVSI","2026-06-26 07:38:52"
CFORJ,FORJADORES-PVSI,AUTO-REC-33,187.150.254.250,online,CHETU,CHETUMAL,3.67,"26.0.2_06.21 DBXW",26-06-2026,08:35:31,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,474,,"D:\PVSI","2026-06-26 07:39:16"
CDHID,FRONTERA1,AUTO-REC-11742,189.148.53.30,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,19:06:16,,,"Microsoft Windows 10 Home Single Language",x64,8,893,,"D:\PVSI","2026-06-26 07:38:58"
FUENT,FUENTE01,AUTO-REC-58,201.111.161.217,offline,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:51:20,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\PVSI","2026-06-25 21:00:49"
GALAX,GALAXIAS,AUTO-REC-2,189.148.31.32,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,17:55:03,,,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:08"
00109,GASTELUM-PVSI,AUTO-REC-10349,187.199.227.207,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:01:56,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:38:50"
,GERENCIAB2B,AUTO-REC-113,187.191.7.164,offline,,,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,8,476,,"C:\ProgramData\DistributionAgent\files","2026-06-25 12:08:56"
XRESE,GRANRESERVA,AUTO-REC-4,201.97.214.182,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.16 DBXW",21-06-2026,14:59:14,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\pvsi","2026-06-26 07:38:58"
,GVEND,AUTO-REC-103-1781967400,189.203.207.185,offline,,,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,8,475,,"C:\ProgramData\DistributionAgent\files","2026-06-25 17:57:21"
,GVENE,AUTO-REC-107-1782171085,189.203.207.185,offline,,,3.67,"26.0.2_06.13 DBXW",18-06-2026,14:30:25,,,"Microsoft Windows 11 Home Single Language",x64,8,475,,"C:\ProgramData\DistributionAgent\files","2026-06-25 17:59:53"
HCONQ,HCONQ,AUTO-REC-119,189.173.211.122,offline,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",25-06-2026,09:38:29,,,"Microsoft Windows 7 Professional",x86,3,466,,"D:\PVSI","2026-06-25 17:03:38"
,HCONQ,64:66:B3:A4:74:AD,189.173.211.122,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",25-06-2026,17:41:46,,,"Microsoft Windows 7 Professional",x86,3,466,,"D:\pvsi","2026-06-26 07:39:04"
HCOT3,HCOTE,AUTO-REC-39211,187.245.106.112,offline,HERMO,HERMOSILLO,3.67,"26.0.2_05.08 DBXW",28-05-2026,18:01:38,,,"Microsoft Windows 11 Home Single Language",x64,8,454,,"D:\PVSI","2026-06-25 22:34:32"
TCHI3,HIDALGO03,3C:55:76:4A:13:49,189.148.50.141,online,TAPAC,TAPACHULA,3.67,"26.0.2_05.08 DBXW",10-06-2026,10:16:18,,,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:16"
HUETA,HUEHUETAN,AUTO-REC-12726,189.148.43.116,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,19:04:23,,,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:38:57"
TINDE,INDECO,AUTO-REC-12727,189.148.49.157,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,18:46:49,,,"Microsoft Windows 10 Pro N",x64,8,953,,"D:\PVSI","2026-06-26 07:39:19"
00087,INSURGENTES-PVS,AUTO-REC-5865,187.223.63.181,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",25-06-2026,08:27:19,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,952,,"D:\PVSI","2026-06-26 07:39:08"
INTER,INTERNADO,AUTO-REC-12728,189.148.33.191,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,19:14:50,,,"Microsoft Windows 7 Professional",x86,3,466,,"D:\PVSI","2026-06-26 07:39:13"
JARDI,JARDINES01,AUTO-REC-57,201.105.118.51,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:12:39,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,456,,"D:\PVSI","2026-06-26 07:38:56"
TJOYA,JOYA,AUTO-REC-21097,189.148.50.132,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,16:52:52,,,"Microsoft Windows 11 Pro",x64,8,456,,"D:\PVSI","2026-06-26 07:39:11"
XELJU,JUGUETE,AUTO-REC-142,201.105.69.137,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,19:05:12,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Enterprise LTSC",x64,8,475,,"D:\PVSI","2026-06-26 07:39:16"
KRIST,KRISTAL01,AUTO-REC-131,201.105.55.200,offline,XALAP,"XALAPA TIENDAS",3.67,,,,,,"Microsoft Windows 10 Enterprise LTSC",x64,8,931,,"D:\PVSI","2026-06-25 21:00:26"
00117,LA-JOYA,AUTO-REC-12723,187.199.63.51,online,BAJAC,,3.67,"26.0.2_06.21 DBXW",25-06-2026,07:40:23,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,475,,"D:\PVSI","2026-06-26 07:39:12"
MLLUZ,LALUZ-PV-01,A8:A1:59:DE:AA:5B,187.204.83.23,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",26-06-2026,19:07:58,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,446,,"D:\PVSI","2026-06-26 07:38:53"
GLAPI,LAPIZAUX,AUTO-REC-69,189.181.58.196,offline,GUADA,GUADALAJARA,3.67,,,,,,"Microsoft Windows 10 Home Single Language",x64,4,223,,"D:\PVSI","2026-06-25 18:17:44"
,LAPIZLAZULI,AUTO-REC-10380,189.181.58.196,offline,,,3.67,"26.0.2_06.16 DBXW",20-06-2026,09:53:55,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,910,,"C:\ProgramData\DistributionAgent\files","2026-06-25 18:31:06"
NCEDI,LAPTOP-JCQC1HCI,AUTO-REC-84,186.77.136.78,offline,NICAR,NICARAGUA,3.67,,,,,,"Microsoft Windows 11 Home Single Language",x64,15,476,,"D:\PVSI","2026-06-25 15:08:13"
00113,LASOLAS-PVSI,AUTO-REC-10339,187.223.49.124,online,BAJAC,"BAJA CALIFORNIA",3.67,"26.0.2_06.21 DBXW",26-06-2026,18:05:31,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"D:\PVSI","2026-06-26 07:39:15"
XVIGA,LASVIGAS,AUTO-REC-143,201.105.26.54,online,XALAP,"XALAPA TIENDAS",3.67,"26.0.2_06.18 DBXW",26-06-2026,18:14:16,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,912,,"D:\PVSI","2026-06-26 07:39:00"
HVILL,LASVILLAS,AUTO-REC-10419,187.158.93.46,online,HERMO,HERMOSILLO,3.67,"26.0.2_06.21 DBXW",25-06-2026,09:08:37,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,476,,"D:\PVSI","2026-06-26 07:39:07"
LAURE,LAURELES,AUTO-REC-12729,189.148.59.154,offline,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",25-06-2026,17:08:48,,,"Microsoft Windows 10 Pro",x86,3,931,,"D:\PVSI","2026-06-25 18:04:55"
,LENOVO,AUTO-REC-168-1782169065,186.77.204.175,offline,,,3.67,,,,,,"Microsoft Windows 11 Home",x64,16,475,,"C:\ProgramData\DistributionAgent\files","2026-06-26 05:46:23"
,LEONA-PVSI,AUTO-REC-6158,187.199.96.92,online,,,3.67,"26.0.2_06.16 DBXW",24-06-2026,13:33:39,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,930,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:12"
,LIBRAMIENTO,AUTO-REC-11739,189.148.16.42,online,,,3.67,"26.0.2_06.16 DBXW",24-06-2026,11:21:46,,,"Microsoft Windows 11 Pro",x64,8,912,,"C:\ProgramData\DistributionAgent\files","2026-06-26 07:39:02"
MMARI,M01-PV-01,AUTO-REC-12711,187.204.74.94,online,MANZA,MANZANILLO,3.67,"26.0.2_06.18 DBXW",26-06-2026,18:38:57,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,446,,"D:\PVSI","2026-06-26 07:38:50"
MMACR,M02-PV-01,1C:99:57:C1:DA:4A,187.204.29.184,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",25-06-2026,08:37:11,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,911,,"D:\PVSI\PVSI","2026-06-26 07:39:11"
MVALG,M04,1C:99:57:BC:E4:09,177.248.141.139,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",26-06-2026,18:59:10,,,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:12"
MSANT,M05,PENDING-DEL-40835,177.248.133.239,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",26-06-2026,18:49:28,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,910,,"D:\PVSI","2026-06-26 07:39:17"
MCENT,M06,B0:7B:25:18:E0:E0,187.192.197.146,offline,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",25-06-2026,18:57:15,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,911,,"D:\PVSI","2026-06-25 08:54:53"
MSORI,M08,AUTO-REC-12715,187.204.27.255,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",18-06-2026,08:33:20,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,447,,"D:\PVSI","2026-06-26 07:39:01"
MROSA,M09-PV-01,AUTO-REC-12710,187.192.178.106,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",26-06-2026,18:46:25,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 10 Pro",x64,8,447,,"D:\PVSI","2026-06-26 07:39:03"
MZAMO,M10-PV-01,PENDING-DEL-40779,187.204.17.35,online,MANZA,MANZANILLO,3.67,"26.7 R03.12.28",03-06-2026,07:37:39,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,446,,"D:\PVSI","2026-06-26 07:39:00"
MCOLO,M11-PV-01,PENDING-DEL-40848,187.220.101.156,online,MANZA,MANZANILLO,3.67,"26.0.2_06.16 DBXW",26-06-2026,18:42:55,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,446,,"D:\PVSI","2026-06-26 07:39:19"
MMINA,M12-PV-01,PENDING-DEL-40894,187.204.83.52,online,MANZA,MANZANILLO,3.67,"26.7 R03.12.28",03-06-2026,07:27:25,"26.7 R03.12.28",03-06-2026,"Microsoft Windows 11 Pro",x64,8,446,,"D:\PVSI","2026-06-26 07:39:13"
PON17,MACAL,D8:CB:8A:1C:39:EE,189.148.37.203,online,TAPAC,TAPACHULA,3.67,"26.0.2_06.18 DBXW",26-06-2026,17:53:15,,,"Microsoft Windows 10 Home Single Language",x64,3,931,,"D:\PVSI","2026-06-26 07:39:03"
